1996-11-01,258.5793627594266
1996-12-01,281.35565867680026
1997-01-01,304.9563470139783
1997-02-01,329.28926646087706
1997-03-01,354.1477658543056
1997-04-01,379.269126632517
1997-05-01,404.623779464889
1997-06-01,430.24591877662107
1997-07-01,455.5383641147618
1997-08-01,480.08086590230045
1997-09-01,504.00707911481544
1997-10-01,527.4092374914338
1997-11-01,549.8877517117022
1997-12-01,571.1964302816347
1998-01-01,591.6506173876489
1998-02-01,611.025448320884
1998-03-01,629.1587069896456
1998-04-01,646.2583077137957
1998-05-01,662.524494999762
1998-06-01,677.8210690250029
1998-07-01,692.4593738499527
1998-08-01,706.9594627505423
1998-09-01,721.8930371885733
1998-10-01,737.6150726967189
1998-11-01,753.94017437471
1998-12-01,771.0933123888843
1999-01-01,789.4961155354231
1999-02-01,809.3702053043039
1999-03-01,830.7624631645606
1999-04-01,853.9258663939011
1999-05-01,879.0293709359247
1999-06-01,905.8884951657296
1999-07-01,934.3790336328868
1999-08-01,964.1606390492185
1999-09-01,993.8950585713936
1999-10-01,1021.9216531501914
1999-11-01,1047.4848396288457
1999-12-01,1070.3505150873095
2000-01-01,1090.19416234383
2000-02-01,1106.7579333187202
2000-03-01,1120.1118457904083
2000-04-01,1130.5566717810093
2000-05-01,1138.3834417086775
2000-06-01,1142.3841966829834
2000-07-01,1141.5305886364197
2000-08-01,1138.262280509487
2000-09-01,1135.4521321935667
2000-10-01,1132.0331336304528
2000-11-01,1126.0889286671045
2000-12-01,1118.1090329022675
2001-01-01,1108.993935851539
2001-02-01,1099.4292028932566
2001-03-01,1090.524159177809
2001-04-01,1083.3074571978275
2001-05-01,1078.0162441245946
2001-06-01,1074.0864202040866
2001-07-01,1071.8452424441675
2001-08-01,1073.2264192299249
2001-09-01,1078.966659360462
2001-10-01,1087.4604247339314
2001-11-01,1097.7137673217899
2001-12-01,1110.0971724994522
2002-01-01,1124.8410900854822
2002-02-01,1141.8977253354763
2002-03-01,1161.4034607048052
2002-04-01,1182.1558169552627
2002-05-01,1210.3477143761727
2002-06-01,1249.6112491171662
2002-07-01,1283.5184238084803
2002-08-01,1298.7826039307377
2002-09-01,1306.8239935705412
2002-10-01,1319.5011689924745
2002-11-01,1336.5794184262436
2002-12-01,1359.394863739314
2003-01-01,1382.2882417076107
2003-02-01,1409.9106114778515
2003-03-01,1445.5898304799482
2003-04-01,1480.7430580861824
2003-05-01,1504.58802157947
2003-06-01,1510.98497724532
2003-07-01,1583.8385363225536
2003-08-01,1674.8332086299247
2003-09-01,1716.103399747261
2003-10-01,1769.882255055322
2003-11-01,1837.7990158350267
2003-12-01,1918.2028028811012
2004-01-01,2007.743083553288
2004-02-01,2099.748869532662
2004-03-01,2189.2420073489825
2004-04-01,2275.179041619217
2004-05-01,2354.9133961158295
2004-06-01,2427.9149569788183
2004-07-01,2427.5796652823474
2004-08-01,2417.65466836891
2004-09-01,2459.2451588679623
2004-10-01,2492.0271536230903
2004-11-01,2517.7051142513374
2004-12-01,2527.411522050252
2005-01-01,2509.5841581605623
2005-02-01,2477.640885408612
2005-03-01,2444.4467861782077
2005-04-01,2398.1282148527303
2005-05-01,2339.8508708423115
2005-06-01,2269.241234381283
2005-07-01,2168.554166249455
2005-08-01,2058.4978509882626
2005-09-01,1962.6633477805635
2005-10-01,1855.6870467759918
2005-11-01,1729.2074628490916
2005-12-01,1584.630590118235
2006-01-01,1426.3802229144205
2006-02-01,1251.6100215601025
2006-03-01,1062.4213089997065
2006-04-01,874.6417104969536
2006-05-01,696.1196008443134
2006-06-01,535.8657072398998
2006-07-01,411.650678570757
2006-08-01,303.212285034287
2006-09-01,185.54300232880152
2006-10-01,66.37785275835873
2006-11-01,-54.567520744203634
2006-12-01,-177.18958032582788
2007-01-01,-286.83543804358
2007-02-01,-385.4280902634867
2007-03-01,-482.2251651807321
2007-04-01,-574.7206367059916
2007-05-01,-669.686687257193
2007-06-01,-774.8712569597894
2007-07-01,-891.5475114898168
2007-08-01,-1022.0808560080537
2007-09-01,-1164.0236381387997
2007-10-01,-1307.1852149381887
2007-11-01,-1446.9652247093677
2007-12-01,-1578.875170020504
2008-01-01,-1694.8964782737978
2008-02-01,-1787.7013292106494
2008-03-01,-1857.4708751716923
2008-04-01,-1907.1130407104733
2008-05-01,-1937.2832559807164
2008-06-01,-1945.8066631962517
2008-07-01,-1934.214691110791
2008-08-01,-1907.602436653632
2008-09-01,-1876.4466331103868
2008-10-01,-1849.6079933691663
2008-11-01,-1829.9333876492335
2008-12-01,-1808.3018014887446
2009-01-01,-1760.572141747366
2009-02-01,-1680.0362185906824
2009-03-01,-1580.6647711523071
2009-04-01,-1470.0918361481354
2009-05-01,-1348.9680471092045
2009-06-01,-1223.6106263102313
2009-07-01,-1101.3850435615386
2009-08-01,-966.6753086105575
2009-09-01,-924.9474174257665
2009-10-01,-921.5575972369176
2009-11-01,-824.6230704053704
2009-12-01,-684.3870832614472
2010-01-01,-577.604920437506
2010-02-01,-547.7466957981098
2010-03-01,-562.6027123257566
2010-04-01,-608.265089661488
2010-05-01,-675.4166647148631
2010-06-01,-763.3325353627637
2010-07-01,-873.429185443902
2010-08-01,-997.3929846610687
2010-09-01,-1000.9586479063558
2010-10-01,-936.5533669076285
2010-11-01,-934.8525308923549
2010-12-01,-959.4742736817994
2011-01-01,-975.9250214953462
2011-02-01,-956.3450969801245
2011-03-01,-918.8691707018709
2011-04-01,-870.4809175448911
2011-05-01,-813.3641070527045
2011-06-01,-743.3164091837992
2011-07-01,-659.5904258195575
2011-08-01,-570.9378501740321
