,sigma2,predicted_mean,lower_conf_mean
1108,1.0684041401566706e-05,0.009402195988177924,-0.007875738195899082
1109,1.7116064613918718e-05,0.007943507853399754,-0.008758057221053803
1118,7.351318639009706e-06,0.004058610017810995,-0.025889496773043908
1119,1.0065193699399877e-05,0.004316599052438903,-0.04259397685064659
1128,5.786356538706925e-06,0.0037459531481083106,-0.006566687394869974
1129,4.263759329859494e-06,0.00437168448514277,-0.0055946657897219775
1151,1.3643656756956185e-05,0.0019655101950435973,-0.02500113642866824
1201,3.0535043308178818e-06,0.0017515429442946959,-0.004368435453187681
1220,6.971868454918506e-06,0.0015952599274742533,-0.00677573859672954
1223,1.795334844653507e-05,-0.00018693231548669092,-0.02037331202845818
1225,6.312173615232825e-06,0.002035681319666349,-0.006517398635642307
1226,4.221689999275523e-06,0.0017063294861993502,-0.00563820501594387
1230,8.276634426816642e-06,0.0021425230936385057,-0.01051843460863979
1235,9.402644467881565e-06,0.001558396885872794,-0.012099690451559368
1238,7.829714769265528e-06,-7.033556374745208e-05,-0.01015497033161072
1240,1.0006331137236e-05,-0.0004600930456452544,-0.013459475053664243
1245,3.1579443433483994e-05,0.0002860074070666837,-0.021110808911549886
1247,9.652446736845345e-06,0.001224597557392903,-0.00946749402994099
1254,2.083702073011137e-05,-0.0007314668064155735,-0.019977273572816714
1255,1.5491429486846405e-05,-0.0001283692038032978,-0.01927524504409996
1257,1.546055313198491e-05,0.0024387060580433853,-0.012105351319830971
1262,2.733719385296233e-05,0.002751764705135049,-0.016302745668205346
1266,2.2951114528715654e-05,0.0028890377429054005,-0.016831831444194187
1267,2.7019130142113527e-05,-9.358881411980576e-05,-0.01985106731992418
1270,2.4870865040243234e-05,0.0014018113422807957,-0.02048984711285113
1301,8.457982072613505e-06,0.0020793306654057816,-0.010203073929845962
1330,1.6775406544416724e-05,-3.0813523797176224e-05,-0.017447770052931535
1331,1.561706238983066e-05,0.006106150531429902,-0.013346004251567668
1337,1.2290533634169909e-05,5.160116444003399e-06,-0.01547531714958287
1338,1.9604341487434003e-05,0.002870415188030885,-0.012525335339064898
1339,1.2838495689585422e-05,0.0033633825688928385,-0.01270166002497431
1340,1.554717232960982e-05,0.00267825959262867,-0.014536076023408478
1341,1.3643260879480537e-05,-3.308196271462095e-05,-0.01343809959066495
1344,9.923442537535464e-06,0.002083088324067056,-0.01255116028532808
1351,1.3029987862663573e-05,0.0031153826982220517,-0.011452617013783743
1354,1.2359286539361021e-05,-0.0001804957185067683,-0.016057860428664857
1360,1.1878108065415407e-05,0.002843146117771691,-0.012523419525608601
1364,1.2565617712857953e-05,9.565747210634413e-05,-0.014522884131531395
1366,1.2666071098286094e-05,0.005257938993123653,-0.007061189351888265
1368,8.515648400392821e-06,0.004969028672087116,-0.009507262514766924
1370,8.312806453204266e-06,0.0034059401525810126,-0.010037204806184388
1373,1.0837133784159693e-05,0.002441432452623603,-0.011857284212242481
1375,1.0735970133649087e-05,0.0026082554428789196,-0.011429910770227996
1376,1.2326445164447726e-05,0.002321991708895423,-0.013207503903622412
1420,5.488156098937616e-06,0.000139389777244723,-0.03779518778304945
1430,7.681672039225603e-06,0.004879040999521911,-0.024388237702930627
1431,2.5155551962486153e-05,-0.011647993785811307,-0.08638415537590777
