,mean price
1996-04-01,11.514263656083454
1996-05-01,11.515620114910819
1996-06-01,11.516948575182408
1996-07-01,11.518235757662946
1996-08-01,11.519575746755715
1996-09-01,11.52105759713592
1996-10-01,11.522884148988393
1996-11-01,11.524933301402422
1996-12-01,11.527882930648852
1997-01-01,11.531608608218194
1997-02-01,11.535252316170952
1997-03-01,11.538353495478233
1997-04-01,11.541590453851331
1997-05-01,11.544926375794795
1997-06-01,11.548304574049988
1997-07-01,11.551712219108003
1997-08-01,11.555244640584586
1997-09-01,11.558949252707006
1997-10-01,11.563002590549974
1997-11-01,11.56729688557933
1997-12-01,11.572477330813747
1998-01-01,11.578306886153023
1998-02-01,11.583960249487262
1998-03-01,11.58900578690843
1998-04-01,11.594105314563587
1998-05-01,11.599110271710163
1998-06-01,11.604009490271352
1998-07-01,11.608790253925623
1998-08-01,11.613510533813713
1998-09-01,11.618209060724645
1998-10-01,11.623097854986208
1998-11-01,11.628081322195797
1998-12-01,11.633716224094282
1999-01-01,11.639887943685782
1999-02-01,11.64587842194108
1999-03-01,11.651331844453452
1999-04-01,11.656802520544078
1999-05-01,11.662175445408197
1999-06-01,11.667458645792372
1999-07-01,11.672664366410844
1999-08-01,11.677855714232171
1999-09-01,11.683078849379093
1999-10-01,11.688554588210666
1999-11-01,11.694194013349547
1999-12-01,11.700495536903713
2000-01-01,11.707394933037897
2000-02-01,11.714209751709346
2000-03-01,11.720466975503562
2000-04-01,11.726594342275154
2000-05-01,11.732505684063968
2000-06-01,11.738211922665444
2000-07-01,11.743717539287786
2000-08-01,11.749091128499453
2000-09-01,11.754425588559435
2000-10-01,11.759945025719206
2000-11-01,11.765579028147929
2000-12-01,11.771603812161183
2001-01-01,11.778013772806291
2001-02-01,11.784456995832521
2001-03-01,11.790581746393414
2001-04-01,11.796484846471682
2001-05-01,11.802041449134862
2001-06-01,11.807312380620635
2001-07-01,11.812331173845847
2001-08-01,11.817167442809948
2001-09-01,11.821994149396431
2001-10-01,11.827047179790439
2001-11-01,11.832249360192307
2001-12-01,11.837803898611552
2002-01-01,11.843838630010424
2002-02-01,11.850159521288866
2002-03-01,11.856372222529181
2002-04-01,11.862418077094357
2002-05-01,11.86820666047531
2002-06-01,11.873791880470927
2002-07-01,11.879223362897473
2002-08-01,11.884591687689333
2002-09-01,11.890076120661277
2002-10-01,11.895683228057992
2002-11-01,11.902495131357774
2002-12-01,11.910142517297396
2003-01-01,11.91700711460153
2003-02-01,11.922711289956153
2003-03-01,11.928547686331978
2003-04-01,11.93454297379695
2003-05-01,11.94075147343353
2003-06-01,11.947326966250168
2003-07-01,11.954308727403196
2003-08-01,11.96137307556775
2003-09-01,11.968519638148832
2003-10-01,11.975655327289472
2003-11-01,11.982397083577176
2003-12-01,11.98885234818809
2004-01-01,11.996525403489034
2004-02-01,12.00363696239698
2004-03-01,12.011313080219189
2004-04-01,12.019683527100256
2004-05-01,12.028714366347753
2004-06-01,12.038417616439961
2004-07-01,12.048024576250446
2004-08-01,12.058193028197623
2004-09-01,12.068371690546458
2004-10-01,12.07851826685123
2004-11-01,12.088129278132953
2004-12-01,12.09731529193104
2005-01-01,12.105470666604624
2005-02-01,12.113583857346704
2005-03-01,12.121290998313745
2005-04-01,12.129732106554679
2005-05-01,12.138351683319147
2005-06-01,12.147181150664023
2005-07-01,12.153484652059392
2005-08-01,12.161970930251066
2005-09-01,12.169977783979528
2005-10-01,12.17744118813423
2005-11-01,12.184066654623035
2005-12-01,12.18991151459397
2006-01-01,12.19301548068894
2006-02-01,12.197781903693254
2006-03-01,12.202484238048752
2006-04-01,12.207087072822175
2006-05-01,12.211126051654777
2006-06-01,12.21450989106589
2006-07-01,12.215832713764403
2006-08-01,12.217779556902656
2006-09-01,12.219134771406917
2006-10-01,12.220056577096665
2006-11-01,12.220483547033796
2006-12-01,12.22088403499192
2007-01-01,12.220933839308616
2007-02-01,12.221196639926285
2007-03-01,12.221287368331117
2007-04-01,12.221143461048086
2007-05-01,12.220211576915824
2007-06-01,12.218403601156542
2007-07-01,12.215729659772974
2007-08-01,12.212923475361613
2007-09-01,12.209758312853504
2007-10-01,12.206225771403947
2007-11-01,12.202175999141092
2007-12-01,12.197638508076652
2008-01-01,12.192494926846672
2008-02-01,12.186747468005777
2008-03-01,12.180627130261106
2008-04-01,12.17407687979185
2008-05-01,12.166711337781589
2008-06-01,12.15852331299038
2008-07-01,12.15020132773255
2008-08-01,12.142575709775855
2008-09-01,12.135419041053593
2008-10-01,12.128521653504837
2008-11-01,12.121906599342125
2008-12-01,12.115682234346973
2009-01-01,12.1096197462282
2009-02-01,12.103596862126295
2009-03-01,12.097202522238646
2009-04-01,12.09025753869294
2009-05-01,12.082192168695693
2009-06-01,12.073859992446904
2009-07-01,12.067408409959183
2009-08-01,12.06271477331083
2009-09-01,12.059211258237877
2009-10-01,12.056700473078202
2009-11-01,12.05520481229698
2009-12-01,12.054353072976662
2010-01-01,12.053754572105246
2010-02-01,12.054823506274477
2010-03-01,12.041462453018928
2010-04-01,12.037536288894685
2010-05-01,12.03503845152724
2010-06-01,12.034912101962876
2010-07-01,12.031314172373856
2010-08-01,12.027407456545513
2010-09-01,12.022745604474249
2010-10-01,12.017785492138524
2010-11-01,12.01219469996574
2010-12-01,12.005972354002122
2011-01-01,11.998567533521177
2011-02-01,11.992528228625154
2011-03-01,11.987115393820245
2011-04-01,11.982800687187053
2011-05-01,11.979153988801754
2011-06-01,11.975512150870513
2011-07-01,11.971151533457052
2011-08-01,11.968435833775587
2011-09-01,11.96607382294471
2011-10-01,11.963951195775792
2011-11-01,11.961944308232718
2011-12-01,11.960277967423048
2012-01-01,11.958141679139487
2012-02-01,11.957177278697218
2012-03-01,11.957469391772507
2012-04-01,11.959306183616533
2012-05-01,11.961944486733737
2012-06-01,11.964480849686861
2012-07-01,11.966450857980515
2012-08-01,11.968929429403598
2012-09-01,11.971492479150543
2012-10-01,11.974200835297468
2012-11-01,11.977438378561546
2012-12-01,11.98093448093852
2013-01-01,11.98353209609401
2013-02-01,11.987084287068422
2013-03-01,11.991483046647781
2013-04-01,11.996586766395179
2013-05-01,12.001947275667902
2013-06-01,12.007422672302635
2013-07-01,12.012175471037784
2013-08-01,12.017270621113536
2013-09-01,12.021543838922291
2013-10-01,12.02533090999184
2013-11-01,12.029001343143033
2013-12-01,12.032395637475906
2014-01-01,12.03426071546144
2014-02-01,12.037524819715909
2014-03-01,12.040787601937113
2014-04-01,12.044256487255964
2014-05-01,12.048124991060979
2014-06-01,12.052137337664062
2014-07-01,12.054320172297501
2014-08-01,12.05801981340085
2014-09-01,12.061085770899828
2014-10-01,12.064056831520718
2014-11-01,12.067328488457374
2014-12-01,12.070623676436206
2015-01-01,12.073884737894913
2015-02-01,12.077158829822983
2015-03-01,12.080595807023997
2015-04-01,12.084722402955702
2015-05-01,12.089530280389182
2015-06-01,12.094322777314094
2015-07-01,12.099026674055501
2015-08-01,12.103588467992275
2015-09-01,12.107863401209833
2015-10-01,12.111846234482329
2015-11-01,12.115669495162718
2015-12-01,12.119453066890916
2016-01-01,12.123696577448916
2016-02-01,12.12791514542607
2016-03-01,12.132093496916886
2016-04-01,12.136856335223417
2016-05-01,12.142335755213285
2016-06-01,12.148092719943735
2016-07-01,12.154009635849798
2016-08-01,12.159507234405757
2016-09-01,12.16451030343666
2016-10-01,12.169527384215234
2016-11-01,12.17467177385971
2016-12-01,12.179691040187885
2017-01-01,12.18500469792819
2017-02-01,12.190349085936012
2017-03-01,12.195637253216786
2017-04-01,12.201363262639372
2017-05-01,12.207668113104763
2017-06-01,12.213370331173437
2017-07-01,12.218710478311861
2017-08-01,12.224146921617244
2017-09-01,12.229567800933657
2017-10-01,12.234613888702603
2017-11-01,12.239516337604304
2017-12-01,12.244559072215672
2018-01-01,12.249051356135356
2018-02-01,12.254503400950295
2018-03-01,12.262258231668357
2018-04-01,12.26809472085712
