,sigma2,predicted_mean,lower_conf_mean
1001,2.5237879395123747e-06,0.0016911177229905138,-0.010748878303791008
1002,2.350662147917467e-06,0.003038394338438627,-0.011449618755412387
1005,6.088775411038221e-06,0.0032161779253457343,-0.01780064280853176
1007,2.256020943480464e-06,0.0014755051059920142,-0.008335250591360073
1008,7.79792220449038e-06,0.0033597856983225336,-0.011446047465749997
1010,5.30674099200141e-06,0.0028525349213370617,-0.012085627109899001
1011,2.1417604166266642e-05,0.002739828468449096,-0.020684791817418877
1013,3.068688938552528e-06,0.0033426693988202584,-0.007300552243924644
1020,2.927321913933826e-06,0.002206174754486009,-0.008517742449327206
1026,3.1882096273696417e-05,0.004025026084628323,-0.029952714795121134
1027,2.4785864094784766e-06,0.002705702091983787,-0.008060346715793006
1028,2.247577795599207e-06,0.00237199811547186,-0.008732223813219437
1030,2.4195250752276802e-06,0.0022004665766998735,-0.008553432114244775
1033,3.7384009726597313e-06,0.002581517978509645,-0.009294074514786616
1034,4.174529114637693e-06,0.0023796518029778704,-0.02159390637846482
1035,3.272385502433407e-06,0.0026738982479816457,-0.00913332660618465
1036,2.877718158634501e-06,0.0011433272586201465,-0.009148941715560433
1038,3.920246604268482e-06,0.0006464876296590131,-0.012558833769671892
1040,3.205855162171144e-06,0.00331585853730531,-0.01729265932162445
1050,8.014894326899983e-06,0.003087974553151079,-0.012043743039327435
1053,5.423687971497973e-06,0.005041501569746394,-0.01025296665013819
1054,8.092241679714535e-06,0.0018113366997754591,-0.016809874381547605
1056,2.5234329278671885e-06,0.0016939827726919216,-0.009010300875515695
1060,3.384407026422724e-06,0.0012215749606023414,-0.014625080730568616
1062,2.801914285053249e-06,-0.0012263705874019178,-0.018046446626618577
1068,5.888174236213529e-06,0.004777869888087084,-0.011547466200899232
1071,6.488566863110019e-06,0.0016295127221837128,-0.013690503418032312
1072,7.59731879683495e-06,0.00021643604408496699,-0.023704043457943864
1073,3.1736485097371267e-06,0.0010256798866796661,-0.012348357140234457
1075,2.981805278806519e-06,0.0024518546911662152,-0.007505873773835012
1077,2.9670278855391674e-06,0.0028605424482487205,-0.008932213621932169
1081,6.4790621068721304e-06,0.001722323252171182,-0.01947149201334723
1082,5.094409915625311e-06,0.0030558801305696137,-0.0185067817807526
1083,5.814238314941411e-06,0.0013951943216710982,-0.01623834064526135
1085,3.0284093449315072e-06,0.0017815392207452241,-0.012249813019718697
1089,2.43530962614571e-06,0.0033079834616597196,-0.008624697837115745
1092,7.392484033139392e-06,0.0016977718550650208,-0.014898871222261672
1095,2.025527517246026e-06,0.0028440323729633592,-0.007568449979910636
1096,5.837331600051577e-06,0.004984564659011919,-0.015427918833410586
1098,1.535257414473072e-05,0.0022864504794499942,-0.022600998932185305
1104,5.763518679471238e-06,0.0033129558540026444,-0.013224905138608559
