Region Name,Region Name (group),National Average,P2R,Zhvi
"Sandusky, OH",Other,11.44,9.28,"$126,600"
"San Luis Obispo, CA",Other,11.44,20.05,"$560,300"
"San Jose, CA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,23.61,"$979,400"
"San Francisco, CA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,20.51,"$839,600"
"San Diego, CA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,17.59,"$529,200"
"San Antonio, TX",Other,11.44,9.87,"$158,100"
"San Angelo, TX",Other,11.44,9.01,"$130,100"
"Salt Lake City, UT",Other,11.44,13.63,"$253,700"
"Salisbury, MD",Other,11.44,12.26,"$185,700"
"Salinas, CA",Other,11.44,17.48,"$499,200"
"Salina, KS",Other,11.44,10.21,"$102,600"
"Salem, OR",Other,11.44,12.92,"$232,300"
"Saginaw, MI",Other,11.44,8.08,"$76,300"
"Safford, AZ",Other,11.44,11.46,"$140,900"
"Sacramento, CA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,16.96,"$357,700"
"Rutland, VT",Other,11.44,8.85,"$156,200"
"Ruston, LA",Other,11.44,11.59,"$178,200"
"Roseburg, OR",Other,11.44,13.83,"$166,400"
"Rome, GA",Other,11.44,9.7,"$118,400"
"Rocky Mount, NC",Other,11.44,8.65,"$82,000"
"Rockford, IL",Other,11.44,7.91,"$107,400"
"Rochester, NY",Other,11.44,8.07,"$130,400"
"Rochester, MN",Other,11.44,11.36,"$183,900"
"Roanoke, VA",Other,11.44,11.74,"$153,600"
"Riverton, WY",Other,11.44,13.67,"$175,500"
"Riverside, CA",Other,11.44,15.03,"$321,400"
"Rio Grande City, TX",Other,11.44,6.46,"$81,600"
"Richmond, VA",Other,11.44,12.51,"$202,800"
"Richmond, IN",Other,11.44,8.14,"$76,900"
"Rexburg, ID",Other,11.44,12.87,"$168,800"
"Reno, NV",Other,11.44,16.13,"$306,000"
"Redding, CA",Other,11.44,14.84,"$231,300"
"Red Bluff, CA",Other,11.44,13.43,"$173,700"
"Reading, PA",Other,11.44,10.71,"$168,500"
"Raymondville, TX",Other,11.44,5.2,"$60,200"
"Raleigh, NC",Other,11.44,12.8,"$221,600"
