Region Name,Region Name (group),National Average,P2R,Zhvi
"Cedartown, GA",Other,11.44,7.61,"$84,500"
"Cedar Rapids, IA",Other,11.44,10.08,"$132,900"
"Casper, WY",Other,11.44,13.55,"$184,800"
"Carson City, NV",Other,11.44,16.29,"$259,000"
"Cape Girardeau, MO",Other,11.44,13.59,"$143,700"
"Cape Cod, MA",Other,11.44,17.1,"$375,400"
"Canton, OH",Other,11.44,9.91,"$117,500"
"Cambridge, MD",Other,11.44,8.36,"$130,800"
"California-Lexington Park, MD",Other,11.44,13.61,"$264,500"
"Calhoun, GA",Other,11.44,9.75,"$122,000"
"Burlington, VT",Other,11.44,12.4,"$262,200"
"Burlington, NC",Other,11.44,11.44,"$133,800"
"Burley, ID",Other,11.44,10.69,"$138,900"
"Buffalo, NY",Other,11.44,9.77,"$144,600"
"Brunswick, GA",Other,11.44,11.28,"$172,800"
"Brownwood, TX",Other,11.44,7.37,"$81,900"
"Brownsville, TX",Other,11.44,7.29,"$79,200"
"Brookhaven, MS",Other,11.44,9.48,"$110,900"
"Brenham, TX",Other,11.44,9.41,"$160,000"
"Bradford, PA",Other,11.44,6.39,"$72,100"
"Bowling Green, KY",Other,11.44,11.34,"$151,200"
"Boulder, CO",Other,11.44,18.84,"$484,300"
"Boston, MA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,14.97,"$416,100"
"Borger, TX",Other,11.44,6.29,"$73,900"
"Boise City, ID",Other,11.44,13.14,"$192,100"
"Bogalusa, LA",Other,11.44,7.93,"$110,200"
"Bloomsburg, PA",Other,11.44,10.32,"$140,300"
"Bloomington, IN",Other,11.44,10.5,"$151,300"
"Bloomington, IL",Other,11.44,9.56,"$136,200"
"Blacksburg, VA",Other,11.44,10.66,"$145,900"
"Bismarck, ND",Other,11.44,13.66,"$242,400"
"Birmingham, AL",Other,11.44,10.11,"$131,500"
"Binghamton, NY",Other,11.44,6.99,"$102,000"
"Billings, MT",Other,11.44,13.37,"$204,900"
"Big Stone Gap, VA",Other,11.44,6.65,"$76,500"
"Big Spring, TX",Other,11.44,7.9,"$95,700"
"Big Rapids, MI",Other,11.44,8.19,"$101,300"
"Berlin, NH",Other,11.44,7.66,"$112,600"
"Bennington, VT",Other,11.44,9.57,"$182,900"
"Bend, OR",Other,11.44,16.53,"$342,800"
"Bellingham, WA",Other,11.44,17.32,"$327,700"
"Beeville, TX",Other,11.44,7.21,"$98,500"
"Bedford, IN",Other,11.44,8.47,"$83,800"
"Bay City, TX",Other,11.44,8.5,"$135,800"
"Bay City, MI",Other,11.44,8.51,"$89,600"
"Battle Creek, MI",Other,11.44,8.27,"$99,700"
"Baton Rouge, LA",Other,11.44,10.2,"$169,200"
"Batesville, AR",Other,11.44,9.53,"$99,700"
"Batavia, NY",Other,11.44,6.97,"$112,000"
"Bastrop, LA",Other,11.44,7.7,"$85,700"
"Bartlesville, OK",Other,11.44,8.9,"$98,400"
"Barre, VT",Other,11.44,12.07,"$211,700"
"Baraboo, WI",Other,11.44,11.99,"$176,300"
"Baltimore, MD",Other,11.44,12.55,"$259,000"
"Bakersfield, CA",Other,11.44,12.57,"$190,300"
"Bainbridge, GA",Other,11.44,8.54,"$95,700"
"Austin, TX",Other,11.44,12.7,"$264,800"
"Austin, MN",Other,11.44,8.24,"$96,200"
"Augusta, GA",Other,11.44,9.53,"$105,300"
"Auburn, IN",Other,11.44,9.53,"$119,800"
"Atlantic City, NJ",Other,11.44,9.45,"$184,300"
"Atlanta, GA",Other,11.44,10.93,"$175,200"
"Athens, TN",Other,11.44,9.91,"$130,400"
"Athens, GA",Other,11.44,10.56,"$153,800"
"Ashtabula, OH",Other,11.44,7.65,"$84,600"
"Asheville, NC",Other,11.44,13.79,"$216,600"
"Ardmore, OK",Other,11.44,9.39,"$92,600"
"Arcadia, FL",Other,11.44,7.87,"$116,800"
"Appleton, WI",Other,11.44,11.38,"$154,200"
"Ann Arbor, MI",Other,11.44,11.76,"$249,600"
"Angola, IN",Other,11.44,11.39,"$153,800"
"Anchorage, AK",Other,11.44,12.4,"$282,500"
"Amsterdam, NY",Other,11.44,6.35,"$98,900"
"Amarillo, TX",Other,11.44,8.68,"$123,100"
"Altoona, PA",Other,11.44,10.38,"$113,500"
"Allentown, PA",Other,11.44,10.66,"$186,200"
"Alice, TX",Other,11.44,6.97,"$84,800"
"Alexandria, LA",Other,11.44,11.17,"$143,000"
"Albuquerque, NM",Other,11.44,12.5,"$177,800"
"Albemarle, NC",Other,11.44,10.46,"$129,600"
"Albany, OR",Other,11.44,13.32,"$199,800"
"Albany, NY",Other,11.44,10.64,"$202,200"
"Albany, GA",Other,11.44,8.77,"$96,800"
"Akron, OH",Other,11.44,9.52,"$130,000"
"Adrian, MI",Other,11.44,11.29,"$132,800"
"Ada, OK",Other,11.44,9.86,"$102,300"
"Aberdeen, WA",Other,11.44,10.79,"$142,800"
